title;url;description;related_games;genres;platforms;ign_score;ign_score_phrase;community_score;community_score_phrase;publisher;developers;rating_category;rating_content;release_date;price;review_link
Matchbox Caterpillar Construction Zone;http://www.ign.com/games/matchbox-caterpillar-construction-zone/gbc-13352;Did you ever wonder what it would be like to work construction? More importantly, did you ever want to drive one of those really big Caterpillar trucks? Now you can live out your fantasies with Matchbox Caterpillar Construction Zone. You will get to drive 11 different Caterpillar trucks including Track Type Tractor, Integrated Toolcarrier, Articulated Truck, Challenger Agricultural Tractor, Lexicon Combine, Log Skidder, Wheel Loader, Paver and Backhoe Loader. In each level, you are given a construction task to complete, such as building a pool or repairing a road. Luckily, George, the construction foreman gives you guidance. If you listen to him, you should be able to build everything in Matchbox Caterpillar Construction Zone.;http://www.ign.com/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,http://www.ign.com/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,http://www.ign.com/games/batman-chaos-in-gotham/gbc-14474,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Action;GBC PC;5.0;Mediocre;4.8;Bad;Mattel  Interactive;Realtime Associates;E for Everyone;;December 1999;22.99 USD;http://gameboy.ign.com/articles/163/163352p1.html
Road Rash: Jailbreak;http://www.ign.com/games/road-rash-jailbreak/ps-11652;The maniacal motorbike mayhem returns, and this time it's about revenge. Your buddy Spaz has been jailed, and it's up to you is to break him out. In order to do that, you'll have to join a motorcycle gang and move up through the organization by succeeding at challenges and winning races. If you'd rather, you can play on the square side of thing as a copper in Five-O mode, a cops-and-robbers chase. The game includes five multiplayer modes, including an awesome Sidecar mode, in which one player does the driving while the other does the shooting. This installment of ROAD RASH features 45 attack combos and Super Moves, plus 11 awesome weapons including nunchakus, mace, crowbars, and a cattle prod. There are over 80 miles of interconnected road in this 3D epic, meaning you'll have to play for a long time to see everything there is to see. With more than 100 different races, the game is full of surprises around every corner. Enjoy the 15 new bikes, six types of sidecars, and the sweet new soundtrack of Road Rash: Jailbreak.;http://www.ign.com/games/gran-turismo-1998/ps-2226,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/gran-turismo-2/ps-11426,http://www.ign.com/games/crash-team-racing/ps-11595,http://www.ign.com/games/hot-shots-golf-2/ps-13666,http://www.ign.com/games/one-piece-mansion/ps-488410,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;Racing;PS GBA GCN;7.0;Good;7.3;Good;Electronic Arts;Electronic Arts;T for Teen;Animated Violence, Mild Language;January 26, 2000;7.99 USD;http://psx.ign.com/articles/161/161652p1.html
Jane's F/A-18 Simulator;http://www.ign.com/games/janes-fa-18-simulator/pc-13961;From the award-winning creators of Jane's F-15, Jane's F/A-18 is a stunningly realistic PC simulator for the US Navy's newest front-line carrier strike fighter, the cutting-edge F-18E Super Hornet. The Super Hornet is a carrier-based multi-role attack fighter capable of striking almost anywhere in the world, thanks to the global range of the US Navy's carrier strike forces and the increased combat radius of the new Super Hornet.Earlier versions of the F-18, launching from carriers in the Red Sea and Persian Gulf, decimated Iraqi positions in operation Desert Storm and were immortalized in countless Hollywood productions. Featuring a bigger weapons load, faster top speeds, a stealthier radar signiture and countless technological advancements over it's predicessors, the F/A-18 Super Hornet will lead US carrier-launched air assaults well into the new millinium.;http://www.ign.com/games/squadron-42/pc-20046151,http://www.ign.com/games/star-citizen/pc-144978,http://www.ign.com/games/microsoft-flight/pc-83711,http://www.ign.com/games/mechwarrior-online/pc-18954,http://www.ign.com/games/stardew-valley/pc-20001247,http://www.ign.com/games/omerta-city-of-gangsters-134706/pc-129676,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;Flight;PC;8.5;Great;8.3;Great;Electronic Arts;Jane's Combat Simulations;T for Teen;Animated Violence, Mild Language;Jan 18, 2000;19.99 USD;http://pc.ign.com/articles/163/163961p1.html
Top Gear Pocket 2;http://www.ign.com/games/top-gear-pocket-2/gbc-12213;Grab your helmet and drive on up to Top Gear Pocket 2, which features 36 courses and 15 authentic road rally cars. More than just an updated sequel, this racing game is packed with mechanic's gadgets and gizmos. For instance, now you can modify your car before a race--tweak the suspension, transmission, steering, or even change the engines. Pick the parts you'll need to leave everyone else in your rear-view mirror. Winning provides you with enough spending money to customize your ride at the garage or paint shop. With both single-player and versus modes, you can test your modified cars against your Game Boy Color or your best friend.;http://www.ign.com/games/hot-wheels-stunt-track-driver/gbc-13350,http://www.ign.com/games/test-drive-cycles/gbc-12230,http://www.ign.com/games/grand-theft-auto-ii/gbc-15416,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Racing;GBC;8.0;Great;8.2;Great;Vatical Entertainment, Kemco;Kemco;E for Everyone;No Descriptors;January 2000;35.99 USD;http://gameboy.ign.com/articles/162/162213p1.html
Saga Frontier 2;http://www.ign.com/games/saga-frontier-2/ps-11162;Saga Frontier 2 is a unique role playing adventure game that consists of three innovative battle modes: Duel, Team and Strategic. The player can control an individual character, a team, or several units to fight in battles bringing depth and precision to the combat sequences. One unique aspect of this game is the fluid nature of time, as the plot frequently makes jumps both forward and backward in order to flesh out the narrative.;http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;RPG;PS;7.0;Good;7.4;Good;Square, Square Electronic Arts (US);Square;T for Teen;Mild Animated Violence, Suggestive Themes;February 16, 2000;17.99 USD;http://psx.ign.com/articles/161/161162p1.html
ECW: Hardcore Revolution;http://www.ign.com/games/ecw-hardcore-revolution/n64-13318;When the wrestling-license musical chairs ended last year, Acclaim must have felt like it was on the hurtin' end of a Stone Cold suplex, what with EA snagging the WCW license from THQ and an enraged THQ, its spirit meter jacked up to stratospheric levels, responding by wresting the prized WWF license from Acclaim's grasp.All's fair in love and corporate lumberjack matches, though, so Acclaim pulled itself off the canvas and went out in search of a new franchise. The answer lay as close as the nearest TV, where Extreme Championship Wrestling (ECW) holds court weekly on The Nashville Network. Sealing the deal for a long time to come, Acclaim has invested some of its many WWF and Turok bucks in the ECW.;http://www.ign.com/games/wwf-no-mercy/n64-14737,http://www.ign.com/games/wcwnwo-revenge/n64-3875,http://www.ign.com/games/wwf-wrestlemania-2000/n64-1962,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-437,http://www.ign.com/games/the-legend-of-zelda-ocarina-of-time/n64-14248881,http://www.ign.com/games/the-legend-of-zelda-majoras-mask/n64-1933;Wrestling;N64 DC PS GBC;5.0;Mediocre;5.6;Mediocre;Acclaim Entertainment;Acclaim Studios Salt Lake City;M for Mature;Animated Violence, Strong Language;February 17, 2000;10 USD;http://ign64.ign.com/articles/163/163318p1.html
Blaze & Blade: Eternal Quest;http://www.ign.com/games/blaze-blade-eternal-quest/pc-14143;Blaze and Blade is a anime roleplaying game. You are taken Foresia, the land has been taken over by evil forces. These territories need to be reclaimed to good in order to complete this journey you will travel.;http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505,http://www.ign.com/games/the-witcher-3/pc-134497,http://www.ign.com/games/grand-theft-auto-online/pc-20019837,http://www.ign.com/games/mass-effect-andromeda/pc-20034220,http://www.ign.com/games/the-witcher-3-wild-hunt-blood-and-wine/pc-20035505;RPG;PC PS;4.4;Bad;7.2;Good;THQ;T&E Soft;T for Teen;Animated Violence;Feb 7, 2000;4.99 USD;http://pc.ign.com/articles/164/164143p1.html
Pong: The Next Level;http://www.ign.com/games/pong/gbc-13407;PONG is the original videogame and PONG: The Next Level brings all of the action of the classic to the Game Boy Color. The game is an electronic version of table tennis (or Ping Pong, if you prefer). Players move a paddle up and down, trying to hit the ball past their opponent, and the first player to get 11 points wins. In addition to the classic Pong, there are three other tables to play on. On the Glacier level, two penguins waddle around between the paddles and affect the trajectory of the ball when it hits them. In the Soccer level, players must maneuver two paddles to try to put the ball into the opponent's net. Finally, the Jungle stage has two rollers in the middle that can change the ball's trajectory. Get all of the action of the first major videogame with PONG: The Next Level.;http://www.ign.com/games/the-legend-of-zelda-oracle-of-seasons/gbc-16042,http://www.ign.com/games/the-legend-of-zelda-oracle-of-ages/gbc-16041,http://www.ign.com/games/batman-chaos-in-gotham/gbc-14474,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Action;GBC Arcade;2.0;Painful;4.4;Bad;Majesco;Morning Star Multimedia;E for Everyone;;December 1999;24.99 USD;http://gameboy.ign.com/articles/163/163407p1.html
Speedy Gonzales: Aztec Adventure;http://www.ign.com/games/speedy-gonzales-aztec-adventure-167925/gbc-12135;Sylvester has kidnapped all of the mice in Mexico and it's up to Speedy Gonzales to rescue them. To get all the mice back, Speedy must collect the cheese in 18 different stages. However, the cheese will not be easy to collect, as along the way Speedy will have to make death-defying jumps while avoiding spikes, lava, and bottomless pits. In addition to those hazards, there are a number of enemies that are glad the mice are gone and don't want Speedy to rescue them. As luck would have it, there are power-ups and weapons scattered throughout the stages. After completing several stages, Speedy will have to face and defeat a boss character. Will Speedy be able to collect all of the cheese and defeat his enemies? Find out by playing SPEEDY GONZALES: Aztec Adventure.;http://www.ign.com/games/shantae/gbc-15286,http://www.ign.com/games/wario-land-ii/gbc-11140,http://www.ign.com/games/super-mario-bros-deluxe/gbc-11703,http://www.ign.com/games/pokemon-silver-version/gbc-16709,http://www.ign.com/games/pokemon-gold-version/gbc-12865,http://www.ign.com/games/pokemon-crystal-version/gbc-15402;Platformer;GBC;5.0;Mediocre;6.2;Okay;Sunsoft;Sunsoft Games (US);E for Everyone;;January 5, 2000;35.99 USD;http://gameboy.ign.com/articles/162/162135p1.html
Vandal Hearts II;http://www.ign.com/games/vandal-hearts-ii/ps-11625;Forced to flee his village after being manipulated into assassinating a major political figure, Joshua joins forces with a band of renegade mercenary thieves and political intrigue ensues in VANDAL HEARTS II. In this sequel to the popular Strategy-RPG, you are once again in the midst of battle as you use your cunning to defeat the enemy. What sets VANDAL HEARTS II apart from the original is the use of the Dual Battle System, which allows the computer to move monsters and characters during your turn, requiring additional thoughtful strategy as you maneuver your men around the battlefield. Give your characters additional power as they obtain weapons and armor that have the ability to initiate spells and perform secret moves. There are no limits to what status your men can achieve a ninja, a knight, a priest, a swordsman, or combinations of any or all and it's up to you to choose the path they take.;http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673,http://www.ign.com/games/final-fantasy-vii/ps-494,http://www.ign.com/games/final-fantasy-viii/ps-3847,http://www.ign.com/games/baldurs-gate/ps-13673;RPG;PS;7.4;Good;7.8;Good;Konami;Konami;M for Mature;Blood, Gore, Animated Violence;November 1999;47.99 USD;http://psx.ign.com/articles/161/161625p1.html
